5255	0
102326	a
42	aa
68	aaa
1	aaaa
3	aaaaagggghhhh
1	aaaaarrrrgh
1	aaaahhh
1	aaaall
2	aaaarrgghhhh
1	aaack
2	aaaggghhh
2	aaah
1	aaahh
2	aaahhhh
5	aaai
1	aacc
3	aachen
1	aacs
1	aacvkc
1	aagain
1	aaghzshe
2	aah
1	aaj
1	aalborg
1	aaldoubo
1	aalternate
2	aam
1	aamazing
13	aamir
2	aammmaaaazzzzzziinnnnggggg
1	aams
6	aan
1	aanbieden
1	aand
2	aanerud
1	aangeboden
1	aangegeven
1	aangezien
1	aantal
1	aao
21	aap
2	aaplay
3	aardvark
6	aargh
7	aarhus
6	aario
2	aarnet
168	aaron
8	aaronc
1	aaronson
4	aaroundpluto
3	aarp
1	aarseth
1	aarskog
7	aas
1	aasked
2	aatchoo
1	aatdb
1	aavso
2	aawin
2	aazaadee
94	ab
4	ababa
2	ababs
3	aback
1	abacus
3	abad
36	abandon
1	abandond
5	abandonded
1	abandondoning
54	abandoned
8	abandoning
3	abandonment
4	abandons
15	abate
2	abatement
1	abates
1	abaum
3	abba
7	abbas
2	abbasids
4	abbasov
1	abberant
4	abberation
1	abberley
5	abbey
1	abbie
6	abbot
18	abbott
1	abbotts
1	abbreviated
15	abbreviation
9	abbreviations
140	abc
1	abcdefghijklmnopqrstuvwxyz
5	abd
3	abdallah
1	abdeen
6	abdel
1	abdelhamoud
3	abdi
1	abdicate
3	abdicated
1	abdication
5	abdkw
1	abdo
14	abdomen
1	abdomens
14	abdominal
5	abduct
6	abducted
4	abduction
16	abdul
1	abdulcebbar
1	abdulhamid
10	abdulla
14	abdullah
1	abdullahad
5	abe
9	abed
1	abeel
1	abeit
5	abekas
9	abel
1	abensberg
2	aber
11	aberdeen
1	aberkvam
1	abernathy
3	aberrance
6	aberrances
11	aberrant
9	aberration
1	aberrations
1	abetted
2	abetter
3	abetting
1	abfb
1	abfdefghiijklmmnohpp
1	abfp
2	abg
1	abgarovich
2	abh
4	abhijit
4	abhin
7	abhor
4	abhored
2	abhorent
5	abhorrant
5	abhorred
1	abhorrence
5	abhorrences
5	abhorrent
5	abhors
1	abhout
2	abian
18	abide
3	abides
1	abideth
110	abiding
3	abig
2	abigail
1	abild
1	abildskov
1	abilene
45	abilities
440	ability
1	abiliy
1	abilty
6	abingdon
1	abington
3	abio
43	abiogenesis
1	abiogenesists
3	abiogenisis
7	abject
2	abjoern
1	abjuring
1	abkect
1	abkhazia
1	ablagon
5	ablaze
1	ablazing
1686	able
1	ablex
1	ablility
2	ablum
2	ablutions
4	ably
2	abn
2	abner
11	abnormal
8	abnormalities
1	abnormally
1	abo
